iter	Logloss
0	0.6810115165
1	0.6695048072
2	0.6588674349
3	0.6494760729
4	0.6400663675
5	0.6328509686
6	0.6251362437
7	0.6184227353
8	0.6114006757
9	0.6049229956
10	0.5991812649
11	0.5951232324
12	0.5908706069
13	0.5864620891
14	0.5824519143
15	0.5781371968
16	0.5748023668
17	0.5714408965
18	0.5679411123
19	0.5656965379
20	0.5624716149
21	0.560604303
22	0.557700085
23	0.5552275701
24	0.552850101
25	0.5510510338
26	0.5487804708
27	0.5468900129
28	0.545538835
29	0.5439100894
30	0.5421549786
31	0.5406992485
32	0.5392363036
33	0.5379410843
34	0.5366297779
35	0.5352922735
36	0.5340261067
37	0.5330533556
38	0.5320507964
39	0.5311825619
40	0.5304562337
41	0.529189948
42	0.528564784
43	0.5277270745
44	0.5273140136
45	0.5261209028
46	0.5250496039
47	0.52452592
48	0.5239121617
49	0.5233894758
50	0.523053322
51	0.5226856436
52	0.5222220119
53	0.5217165778
54	0.521449703
55	0.5210681878
56	0.5209837496
57	0.5205882915
58	0.5199538709
59	0.5195017715
60	0.5190704312
61	0.5185849037
62	0.5180098211
63	0.5175704349
64	0.5172108516
65	0.5168429693
66	0.5165524072
67	0.516267012
68	0.5158734012
69	0.5156459699
70	0.5152921093
71	0.5149669962
72	0.5147083163
73	0.5142010025
74	0.5139973143
75	0.5137932728
76	0.5136629774
77	0.5133427645
78	0.513111167
79	0.5128986051
80	0.5126639982
81	0.5123658404
82	0.5120547129
83	0.5119468625
84	0.5117434627
85	0.5115261346
86	0.5112110264
87	0.5110434946
88	0.5108663216
89	0.5107140704
90	0.5104961895
91	0.5100241856
92	0.5099100686
93	0.5097377194
94	0.5094785345
95	0.5093613015
96	0.5092025109
97	0.509056259
98	0.5088441709
99	0.5086695204
100	0.5086559976
101	0.5083509696
102	0.5083022666
103	0.5081869527
104	0.5079829647
105	0.5078718615
106	0.5077504624
107	0.5076213911
108	0.507518601
109	0.5074064384
110	0.507297479
111	0.507152475
112	0.5070373037
113	0.5069396427
114	0.5067973567
115	0.506694055
116	0.5065029724
117	0.5063647673
118	0.5062279991
119	0.5060312864
120	0.5058967325
121	0.5057786516
122	0.5056757304
123	0.5055948165
124	0.5055054035
125	0.5054789168
126	0.5053705934
127	0.5052164353
128	0.5050798425
129	0.5049596491
130	0.5048475965
131	0.504701585
132	0.5044926557
133	0.5043605458
134	0.5041900714
135	0.5040731178
136	0.5039456991
137	0.5038760293
138	0.5038109436
139	0.5037138829
140	0.5036382061
141	0.5035699193
142	0.5034715275
143	0.5034126706
144	0.5032930587
145	0.503165945
146	0.5031006918
147	0.5029247047
148	0.502843966
149	0.5027407929
150	0.5026802058
151	0.5025373896
152	0.5024262602
153	0.5022443515
154	0.5021114977
155	0.5020178302
156	0.5019468999
157	0.5018223451
158	0.5017083117
159	0.5015960728
160	0.501529443
161	0.5014588862
162	0.5011510556
163	0.5010413823
164	0.5009505842
165	0.500862437
166	0.500782487
167	0.5006908156
168	0.5005875196
169	0.5005017623
170	0.5003628087
171	0.5002741095
172	0.5001561989
173	0.5000073237
174	0.4999423679
175	0.4998678402
176	0.4998067747
177	0.4997328482
178	0.4996750057
179	0.4995942238
