iter	Passed	Remaining
0	6	6771
1	13	6838
2	20	6890
3	27	6933
4	35	6969
5	39	6566
6	46	6604
7	53	6624
8	60	6656
9	67	6680
10	74	6659
11	81	6718
12	87	6666
13	94	6639
14	100	6620
15	107	6598
16	114	6645
17	120	6594
18	127	6576
19	133	6553
20	140	6529
21	146	6518
22	153	6534
23	161	6550
24	167	6526
25	173	6516
26	181	6525
27	187	6514
28	194	6508
29	201	6524
30	209	6562
31	216	6563
32	223	6544
33	229	6530
34	236	6524
35	243	6520
36	249	6494
37	255	6461
38	262	6460
39	269	6460
40	276	6462
41	282	6450
42	289	6437
43	295	6420
44	302	6411
45	308	6403
46	315	6393
47	321	6379
48	327	6359
49	334	6349
50	340	6342
51	347	6330
52	353	6316
53	360	6310
54	366	6302
55	374	6318
56	379	6275
57	385	6265
58	392	6256
59	398	6250
60	405	6247
61	412	6245
62	420	6250
63	427	6253
64	434	6250
65	441	6253
66	448	6246
67	455	6239
68	461	6230
69	468	6227
70	475	6219
71	481	6211
72	488	6201
73	494	6193
74	501	6187
75	508	6178
76	514	6169
77	521	6164
78	527	6153
79	535	6152
80	541	6141
81	547	6133
82	554	6126
83	560	6116
84	567	6111
85	574	6101
86	581	6097
87	587	6092
88	594	6088
89	602	6089
90	609	6083
91	615	6074
92	622	6067
93	629	6068
94	638	6080
95	646	6084
96	654	6088
97	660	6080
98	667	6072
99	674	6069
100	678	6039
101	685	6031
102	690	6011
103	696	6004
104	703	5998
105	710	5993
106	717	5985
107	723	5977
108	730	5971
109	737	5964
110	743	5954
111	750	5947
112	756	5938
113	762	5928
114	769	5922
115	775	5912
116	782	5906
117	789	5897
118	795	5889
119	802	5887
120	809	5881
121	816	5874
122	823	5869
123	830	5869
124	838	5871
125	844	5860
126	851	5854
127	858	5847
128	865	5843
129	871	5833
130	878	5824
131	884	5817
132	890	5807
133	897	5803
134	904	5796
135	911	5787
136	917	5781
137	925	5779
138	931	5772
139	938	5763
140	944	5755
141	950	5745
142	957	5740
143	965	5736
144	972	5732
145	979	5731
146	987	5729
147	994	5727
148	1001	5722
149	1008	5717
150	1015	5709
151	1022	5705
152	1030	5702
153	1037	5698
154	1045	5700
155	1053	5701
156	1061	5698
157	1068	5696
158	1075	5686
159	1082	5680
160	1088	5673
161	1095	5666
162	1101	5657
163	1108	5648
164	1114	5641
165	1122	5638
166	1128	5630
167	1135	5621
168	1142	5615
169	1148	5609
170	1155	5603
171	1162	5597
172	1168	5587
173	1175	5581
174	1182	5573
175	1189	5568
176	1196	5564
177	1204	5560
178	1210	5553
179	1216	5542
180	1223	5535
181	1229	5528
182	1236	5520
183	1242	5511
184	1250	5507
185	1257	5504
186	1265	5499
187	1271	5493
188	1278	5485
189	1285	5479
190	1292	5472
191	1298	5463
192	1304	5455
193	1310	5446
194	1317	5439
195	1323	5430
196	1330	5423
197	1336	5415
198	1343	5406
199	1349	5399
200	1356	5392
201	1363	5385
202	1369	5376
203	1376	5370
204	1383	5363
205	1389	5354
206	1396	5348
207	1402	5340
208	1409	5333
209	1416	5327
210	1422	5318
211	1428	5309
212	1434	5301
213	1441	5293
214	1448	5287
215	1456	5284
216	1462	5278
217	1469	5271
218	1476	5265
219	1483	5258
220	1489	5251
221	1496	5244
222	1503	5237
223	1509	5228
224	1515	5221
225	1522	5214
226	1528	5206
227	1535	5199
228	1542	5192
229	1548	5185
230	1555	5178
231	1561	5170
232	1568	5162
233	1575	5156
234	1581	5149
235	1588	5143
236	1595	5137
237	1601	5128
238	1608	5120
239	1615	5114
240	1621	5106
241	1628	5099
242	1634	5091
243	1640	5082
244	1647	5077
245	1655	5072
246	1662	5068
247	1669	5061
248	1675	5053
249	1682	5047
250	1688	5039
251	1695	5033
252	1701	5024
253	1709	5019
254	1715	5011
255	1721	5004
256	1728	4996
257	1734	4988
258	1741	4982
259	1747	4975
260	1754	4967
261	1760	4959
262	1767	4952
263	1773	4945
264	1781	4941
265	1788	4933
266	1795	4927
267	1801	4920
268	1808	4913
269	1815	4908
270	1821	4900
271	1827	4892
272	1834	4884
273	1841	4878
274	1848	4872
275	1855	4866
276	1861	4859
277	1868	4852
278	1874	4844
279	1881	4837
280	1887	4830
281	1894	4822
282	1900	4816
283	1908	4810
284	1914	4803
285	1920	4795
286	1927	4789
287	1934	4782
288	1941	4775
289	1947	4767
290	1953	4760
291	1959	4752
292	1966	4745
293	1973	4738
294	1979	4730
295	1985	4722
296	1992	4715
297	1998	4707
298	2005	4701
